visual_type,dn_type,firing_count
T4d,DNp51,0
T4d,DNpe019,0
T5a,DNa02,0
T5a,DNa03,0
T5a,DNa09,0
T5a,DNa10,0
T5a,DNa11,0
T5a,DNa13,0
T5a,DNa16,0
T5a,DNae002,0
T5a,DNae003,0
T5a,DNae010,0
T5a,DNb01,0
T5a,DNb03,0
T5a,DNbe001,0
T5a,DNg04,0
T5a,DNg05_a,0
T5a,DNg110,0
T5a,DNg41,0
T5a,DNg42,0
T5a,DNg46,0
T5a,DNg71,0
T5a,DNg78,0
T5a,DNge006,0
T5a,DNge026,0
T5a,DNge037,0
T5a,DNge043,0
T5a,DNge045,0
T5a,DNge086,0
T5a,DNp15,0
T5a,DNp18,0
T5a,DNp22,0
T5a,DNp26,0
T5a,DNp31,0
T5a,DNp51,0
T5a,DNpe019,0
T5b,DNa02,0
T5b,DNa03,0
T5b,DNa09,0
T5b,DNa10,0
T5b,DNa11,0
T5b,DNa13,0
T5b,DNa16,0
T5b,DNae002,0
T5b,DNae003,0
T5b,DNae010,0
T5b,DNb01,0
T5b,DNb03,0
T5b,DNbe001,0
T5b,DNg04,0
T5b,DNg05_a,0
T5b,DNg110,0
T5b,DNg41,0
T5b,DNg42,0
T5b,DNg46,0
T5b,DNg71,0
T5b,DNg78,0
T5b,DNge006,0
T5b,DNge026,0
T5b,DNge037,0
T5b,DNge043,0
T5b,DNge045,0
T5b,DNge086,0
T5b,DNp15,0
T5b,DNp18,0
T5b,DNp22,0
T5b,DNp26,0
T5b,DNp31,0
T5b,DNp51,0
T5b,DNpe019,0
T5c,DNa02,0
T5c,DNa03,0
T5c,DNa09,0
T5c,DNa10,0
T5c,DNa11,0
T5c,DNa13,0
T5c,DNa16,0
T5c,DNae002,0
T5c,DNae003,0
T5c,DNae010,0
T5c,DNb01,0
T5c,DNb03,0
T5c,DNbe001,0
T5c,DNg04,0
T5c,DNg05_a,0
T5c,DNg110,0
T5c,DNg41,0
T5c,DNg42,0
T5c,DNg46,0
T5c,DNg71,0
T5c,DNg78,0
T5c,DNge006,0
T5c,DNge026,0
T5c,DNge037,0
T5c,DNge043,0
T5c,DNge045,0
T5c,DNge086,0
T5c,DNp15,0
T5c,DNp18,0
T5c,DNp22,0
T5c,DNp26,0
T5c,DNp31,0
T5c,DNp51,0
T5c,DNpe019,0
T5d,DNa02,0
T5d,DNa03,0
T5d,DNa09,0
T5d,DNa10,0
T5d,DNa11,0
T5d,DNa13,0
T5d,DNa16,0
T5d,DNae002,0
T5d,DNae003,0
T5d,DNae010,0
T5d,DNb01,0
T5d,DNb03,0
